State,AND,TEXT_TYPE,COLON,KEY,BITWISE_NOT,SEMICOLON,LPAREN,DECIMAL,UNTIL,EQ,SEMI,TOTEXT,END,VALUE,MINUS,BITWISE_AND,LEN,GT,DOT,SORT,LIST_OF,NEQ,NONE,MULT,NOT,PAIR_MAP,MINUS_ASSIGN,IDENTIFIER,NUMBER_TYPE,QUOTE,RCURLY,DECIMAL_TYPE,RPAREN,IF,BITWISE_XOR,REPEAT,METHOD,DIV,MOD,OTHERWISE,MULT_ASSIGN,RBRACKET,CONVERTTO,NUMBER,OR,GEQ,EXPONENT,LSHIFT,SHOW,COMMA,TEXT,ASSIGN,START,FOR,GET,BITWISE_OR,CHOOSE_WHAT,PICK,OUTPUT,LT,PLUS_ASSIGN,LBRACKET,RSHIFT,ε,BINARY_TYPE,LEQ,PLUS,TRUE,LCURLY,FALSE,$,S',CONDITIONAL_EXPR,COLLECTION_STMT,DATA_TYPE,CONST,STMT,INPUT_STMT,LIST_VALUE,CHOOSE_WHAT_STMT,RELATIONAL_EXPR,SHIFT_OP,FUNC_DECL,PAIR_MAP_VAL,CONDITIONAL_STMT,PROGRAM_KLEENE,REPEAT_LOOP,PAIR,LOGICOR_EXPR,COMPOUND_STMT,BASE,RETURN_STMT,PROGRAM,BITXOR_EXPR,BLOCK_STMT,REPEAT_UNTIL,CONV_EXPR,FUNC_CALL,DECL_STMT,FUNC_CALL_OPT,FACTOR,EXPRESSION,BITNOT_EXPR,PAIR_MAP_KEY,ASSIGN_OP,LIST_DECL,TERM,BIT_BASE,RELATIONAL_OP,FOR_LOOP,OUTPUT_STMT,ARG_LIST_GROUP,PICK_CASE,COLLECTION_EXPR,PAIR_MAP_VAL_GROUP,COLLECTION_METHOD,IO_STATEMENT,ADD_OP,CHOOSE_WHAT_STMT_KLEENE,BIT_EXPR,BITOR_EXPR,ASSIGNMENT_STMT,COLLECTION_ASSIGN,LIST_DECL_GROUP,LOOP_STMT,EXP_OP,LOGICNOT_EXPR,BLOCK_STMT_KLEENE,CONDITIONAL_STMT_GROUP,FUNC_DECL_OPT,PAIR_MAP_DECL,PAIR_MAP_VALUE,MULTI_OP,LOGICAND_EXPR,BITAND_EXPR,PARAM_LIST_GROUP,BITSHIFT_EXPR,ARG_LIST,BINARY,SIMPLE_STMT,PARAM_LIST
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s25,,,,,,,,,,,,,,,,,,,s30,,s32,,,s11,,s34,s12,,,s35,,s36,,s37,s13,,,,,,,,,,,,s16,,,,,s40,s19,,s20,,s22,,,,,s42,s23,,,,,,,,,3,26,,4,5,6,7,,,27,,8,28,9,,,10,,29,,,,31,,,33,,,,,,,14,,,,38,15,,,39,,,17,,,,,21,18,,41,,,,,,24,43,,,,,,,,44,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,s25,,,,,,,,,,,,,,,,,,,s30,,s32,,,s11,,s34,s12,,,s35,,s36,,s37,s13,,,,,,,,,,,,s16,,,,,s40,s19,,s20,,s22,,,,,s42,s23,,,,,,,,,3,26,,4,5,6,7,,,27,,8,45,9,,,10,,29,,,,31,,,33,,,,,,,14,,,,38,15,,,39,,,17,,,,,21,18,,41,,,,,,24,43,,,,,,,,44,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,r102,,,,,,,,,,,,,,r102,,,,,,,,,,,r102,,,,,,,,,r102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
