Action Table
State,ADD,PICK,FLOOR_DIV,BITWISE_OR,CHOOSE_WHAT,LT,DECIMAL,TEXT,VALUE,TEXT_TYPE,MINUS,CONVERT_TO,MULT,NONE,IF,NUMBER,STOP,OUTPUT,BITWISE_NOT,PLUS_ASSIGN,FOR,LPAREN,DOT,TRUE,BITWISE_AND,RPAREN,EQ,MULT_ASSIGN,BITWISE_XOR,NOT,GEQ,null,GET,AND,OTHERWISE,SORT,METHOD,END,KEY,PLUS,QUOTE,REPEAT,SEMI,CONTAINS,ASSIGN,TO_TEXT,BINARY_TYPE,KEYS,REMOVE,DECIMAL_TYPE,VALUES,SHOW,IDENTIFIER,EOF,LIST_TYPE,RCURLY,COMMA,NUMBER_TYPE,MOD,OR,PAIR_MAP_TYPE,LCURLY,LBRACKET,MINUS_ASSIGN,RBRACKET,COLON,UNTIL,GT,CONTINUE,DIV,RSHIFT,LEN,LSHIFT,EXPONENT,LEQ,START,FALSE,S_NOT,NEQ,CLEAR,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s2,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,s3,,,,,s5,,,,s10,s12,,s18,s17,,,s19,,,,,,,,,,,,s21,,,,s22,r3,,,,s24,,,,,s28,,,s30,,s32,s31,,s34,,,s36,,,s39,,,,,,,,s43,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,r15,,,,,r15,,,,r15,r15,,r15,r15,,,r15,,,,,,,,,,,,r15,,,,r15,r15,,,,r15,,,,,r15,,,r15,,r15,r15,,r15,,,r15,,,r15,,,,,,,,r15,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,r16,,,,,r16,,,,r16,r16,,r16,r16,,,r16,,,,,,,,,,,,r16,,,,r16,r16,,,,r16,,,,,r16,,,r16,,r16,r16,,r16,,,r16,,,r16,,,,,,,,r16,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,s3,,,,,s5,,,,s10,s12,,s18,s17,,,s19,,,,,,,,,,,,s21,,,,s22,r3,,,,s24,,,,,s28,,,s30,,s32,s31,,s34,,,s36,,,s39,,,,,,,,s43,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,s61,s62,,,s64,,,s68,,s70,,,s72,,,s73,,s74,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,s86,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,s89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,r113,,,,,,,,r113,,,,,,,,,,,,,,,,,r113,,,,,,,,,,,,,,,,,,,r113,,,,,,,,,,,,,,,,,
21,,,,,,,,,,s5,,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s28,,,s30,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,s92,,,,,,,,s95,,,,,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,,,,s93,,,,,,,,,,,,,,,,,
